driver,session,mode,d_start_m,d_end_m,length_m,mean_speed_kmh,peak_force_N,energy_kJ
VER,2026_R1,SLM,2305.7,2703.3,397.6,315.5,2940.0,947.5
VER,2026_R1,SLM,3439.5,3543.3,103.8,246.1,2869.0,252.53
VER,2026_R1,SLM,4834.0,5235.4,401.4,269.8,5028.0,1098.64
VER,2026_R1,OTM,2346.2,2446.5,100.3,310.0,2940.0,286.45
VER,2026_R1,OTM,4834.0,5033.4,199.4,244.5,5028.0,682.76
